"		瘤痢锅龋",瘤痢疙,老矫,乞闭扁柯(∩),弥绊扁柯(∩),"	弥绊扁柯矫阿",弥历扁柯(∩),弥历扁柯矫阿老背瞒,
"		114",盔林,2015-02-12,-0.9,3.6,14:17,-4.1,5:52,7.7
"		114",盔林,2015-02-13,-1.3,4.5,14:46,-8.1,7:10,12.6
"		114",盔林,2015-02-14,0.1,4.4,12:08,-5.5,6:04,9.9
"		114",盔林,2015-02-15,7.1,13.6,14:51,0.5,5:10,13.1
"		114",盔林,2015-02-16,5.3,8.2,0:01,4,23:17,4.2
"		114",盔林,2015-02-17,3.2,4.5,13:27,1.7,24:00:00,2.8
"		114",盔林,2015-02-18,1.6,3.3,12:41,0.9,7:24,2.4
"		114",盔林,2015-02-19,2.2,8.1,14:51,-1,3:47,9.1
"		114",盔林,2015-02-20,4,10.9,14:55,-3.5,7:03,14.4
"		114",盔林,2015-02-21,5.7,8.7,10:15,3.6,5:23,5.1
"		114",盔林,2015-02-22,4.8,7.7,8:35,0.5,22:10,7.2
"		114",盔林,2015-02-23,2.1,6.5,15:35,-0.7,7:21,7.2
"		114",盔林,2015-02-24,2.2,7.9,15:26,-2.1,5:00,10
"		114",盔林,2015-02-25,6,13.4,15:48,-1.2,7:01,14.6
"		114",盔林,2015-02-26,2.5,7.7,0:01,-3.1,23:59,10.8
"		114",盔林,2015-02-27,-0.6,4.2,16:15,-4.9,7:38,9.1
"		114",盔林,2015-02-28,2.4,7.7,15:50,-3.7,4:55,11.4
"		114",盔林,2016-02-01,-4.2,0.5,15:08,-7.9,8:17,8.4
"		114",盔林,2016-02-02,-4.7,0.7,15:10,-10.8,7:29,11.5
"		114",盔林,2016-02-03,-3.5,3.1,15:04,-10.8,7:30,13.9
"		114",盔林,2016-02-04,-0.6,5.9,15:53,-5.8,6:06,11.7
"		114",盔林,2016-02-05,-1.6,3.4,15:06,-6.3,7:32,9.7
"		114",盔林,2016-02-06,-2,3.2,15:35,-6.7,7:20,9.9
"		114",盔林,2016-02-07,-3.1,3.3,15:15,-9,7:03,12.3
"		114",盔林,2016-02-08,0,5.7,13:18,-5.1,5:03,10.8
"		114",盔林,2016-02-09,1.3,5.7,15:15,-2.7,7:19,8.4
"		114",盔林,2016-02-10,1.1,9.4,16:23,-5.8,7:18,15.2
"		114",盔林,2016-02-11,6.9,14.5,16:28,-3.2,7:08,17.7
"		114",盔林,2016-02-12,9.4,13.9,0:18,7.3,4:54,6.6
"		114",盔林,2016-02-13,11.9,17.3,15:55,7.7,5:53,9.6
"		114",盔林,2016-02-14,-0.2,12.3,0:01,-3.2,23:53,15.5
"		114",盔林,2016-02-15,-4.2,-0.9,15:47,-7.2,7:51,6.3
"		114",盔林,2016-02-16,-1.4,2.4,13:53,-5.6,7:15,8
"		114",盔林,2016-02-17,-0.2,5.6,16:14,-6.4,7:30,12
"		114",盔林,2016-02-18,3.8,8.3,14:59,-2.3,7:15,10.6
"		114",盔林,2016-02-19,3.6,6.5,0:08,0.9,23:54,5.6
"		114",盔林,2016-02-20,2.6,8.5,14:40,-1.2,7:16,9.7
"		114",盔林,2016-02-21,0.6,5,15:29,-4.3,7:00,9.3
"		114",盔林,2016-02-22,2,5.8,15:23,-1.8,7:18,7.6
"		114",盔林,2016-02-23,2.4,7.5,13:59,-1.4,23:56,8.9
"		114",盔林,2016-02-24,-1.3,3.1,15:03,-5.2,7:27,8.3
"		114",盔林,2016-02-25,0,4.7,14:18,-6.3,7:22,11
"		114",盔林,2016-02-26,3.4,7.6,15:27,-1.6,7:23,9.2
"		114",盔林,2016-02-27,2.5,6,15:18,0.7,6:00,5.3
"		114",盔林,2016-02-28,1.2,5,12:52,-1.1,24:00:00,6.1
"		114",盔林,2016-02-29,-3.4,-0.7,0:03,-6.6,23:39,5.9
"		114",盔林,2017-02-01,-4.3,1.4,15:34,-9.3,3:51,10.7
"		114",盔林,2017-02-02,-4,2.3,16:31,-11.4,7:31,13.7
"		114",盔林,2017-02-03,-0.1,4.6,15:55,-2.9,5:45,7.5
"		114",盔林,2017-02-04,-0.2,4.2,16:36,-5.8,6:33,10
"		114",盔林,2017-02-05,1.9,4.5,12:13,0.6,23:42,3.9
"		114",盔林,2017-02-06,-0.7,2.3,15:03,-3.3,23:41,5.6
"		114",盔林,2017-02-07,-2.2,2.5,15:46,-7,6:09,9.5
"		114",盔林,2017-02-08,-1.3,2.3,14:31,-5.6,7:01,7.9
"		114",盔林,2017-02-09,-3.7,-0.6,14:29,-5.8,23:25,5.2
"		114",盔林,2017-02-10,-5.4,-2.1,15:54,-8.2,7:21,6.1
"		114",盔林,2017-02-11,-5.1,-0.2,16:04,-10.1,7:05,9.9
"		114",盔林,2017-02-12,-2.7,3.5,15:34,-9.5,7:28,13
"		114",盔林,2017-02-13,-1.4,5.4,16:12,-7.8,7:20,13.2
"		114",盔林,2017-02-14,0.6,5.3,15:45,-2.8,2:43,8.1
"		114",盔林,2017-02-15,0.4,7.8,15:47,-6.2,8:15,14
"		114",盔林,2017-02-16,5.5,12.6,15:27,-4.2,7:16,16.8
"		114",盔林,2017-02-17,4.5,10.6,1:32,-2,23:51,12.6
"		114",盔林,2017-02-18,-1.5,3.5,14:48,-5.8,7:04,9.3
"		114",盔林,2017-02-19,1.8,7.3,19:10,-4.8,7:23,12.1
"		114",盔林,2017-02-20,1.5,6.1,0:08,-3.7,23:58,9.8
"		114",盔林,2017-02-21,-0.3,6.3,15:15,-6.5,5:35,12.8
"		114",盔林,2017-02-22,2,3.7,17:44,-1.1,0:41,4.8
"		114",盔林,2017-02-23,0.5,4.1,14:06,-2.5,23:58,6.6
"		114",盔林,2017-02-24,-0.1,4.9,15:04,-5.1,7:18,10
"		114",盔林,2017-02-25,2,7.4,14:40,-3.4,7:04,10.8
"		114",盔林,2017-02-26,2.6,8.2,15:04,-1.3,6:28,9.5
"		114",盔林,2017-02-27,2.8,9.8,15:52,-3.1,6:56,12.9
"		114",盔林,2017-02-28,4,10.9,14:44,-3.1,6:56,14
"		114",盔林,2018-02-01,-4,2.2,14:16,-10.2,7:57,12.4
"		114",盔林,2018-02-02,-3.4,3.3,15:51,-9.4,7:10,12.7
"		114",盔林,2018-02-03,-5.3,-2.8,14:45,-9.2,23:59,6.4
"		114",盔林,2018-02-04,-8.8,-4.8,15:37,-13.1,7:33,8.3
"		114",盔林,2018-02-05,-8.5,-4,15:01,-13.4,6:18,9.4
"		114",盔林,2018-02-06,-9.1,-5,15:14,-13.5,7:21,8.5
"		114",盔林,2018-02-07,-8.9,-2.9,16:09,-15.5,7:33,12.6
"		114",盔林,2018-02-08,-5.8,2.2,15:17,-13.3,7:36,15.5
"		114",盔林,2018-02-09,-2,4.9,16:07,-7.7,3:07,12.6
"		114",盔林,2018-02-10,-0.2,5.8,13:51,-5.6,23:59,11.4
"		114",盔林,2018-02-11,-5.5,-1.7,13:12,-9,6:05,7.3
"		114",盔林,2018-02-12,-5.8,-1.2,16:27,-11.3,7:37,10.1
"		114",盔林,2018-02-13,-1.6,3.8,15:37,-9.2,5:56,13
"		114",盔林,2018-02-14,3.8,9.5,15:22,-1.3,4:20,10.8
"		114",盔林,2018-02-15,1.1,5.8,14:22,-3.4,7:33,9.2
"		114",盔林,2018-02-16,-0.5,5.6,15:23,-6.7,7:18,12.3
"		114",盔林,2018-02-17,-1.6,2.4,15:04,-4.9,7:38,7.3
"		114",盔林,2018-02-18,-0.8,4.8,15:31,-4.8,6:08,9.6
"		114",盔林,2018-02-19,0.9,7.1,16:33,-5,7:11,12.1
"		114",盔林,2018-02-20,1.2,7.1,14:37,-4.9,7:31,12
"		114",盔林,2018-02-21,-1,4.4,15:49,-5.8,7:37,10.2
"		114",盔林,2018-02-22,-0.3,5.5,13:46,-6.4,7:22,11.9
"		114",盔林,2018-02-23,4.5,8.4,15:02,-0.7,2:51,9.1
"		114",盔林,2018-02-24,4.9,9,14:58,0.2,24:00:00,8.8
"		114",盔林,2018-02-25,2.6,8.9,15:06,-2.4,7:20,11.3
"		114",盔林,2018-02-26,2.5,10.9,15:49,-4.5,7:07,15.4
"		114",盔林,2018-02-27,2.4,6.3,16:19,-2.4,7:09,8.7
"		114",盔林,2018-02-28,4.5,9.3,12:09,1.9,4:41,7.4
"		114",盔林,2019-02-01,-2.1,2.9,14:58,-8.3,7:57,11.2
"		114",盔林,2019-02-02,-0.1,6.2,15:15,-5.4,6:27,11.6
"		114",盔林,2019-02-03,3.2,6.3,18:35,0.4,3:43,5.9
"		114",盔林,2019-02-04,1.4,4.9,15:31,-1.9,7:34,6.8
"		114",盔林,2019-02-05,1.2,9.2,15:44,-4.9,7:20,14.1
"		114",盔林,2019-02-06,3.8,9.8,13:54,-2.1,3:24,11.9
"		114",盔林,2019-02-07,1.8,6.9,2:24,-4.9,23:59,11.8
"		114",盔林,2019-02-08,-3.6,1,14:20,-7.7,7:29,8.7
"		114",盔林,2019-02-09,-3,-0.1,14:28,-5.4,7:58,5.3
"		114",盔林,2019-02-10,-3.4,1,15:55,-8.6,6:59,9.6
"		114",盔林,2019-02-11,-1.9,2.2,14:38,-5.6,7:33,7.8
"		114",盔林,2019-02-12,-1.1,3.7,16:27,-5.7,4:50,9.4
"		114",盔林,2019-02-13,-1.1,3.6,15:37,-5.7,6:52,9.3
"		114",盔林,2019-02-14,-0.2,6.4,16:13,-6,7:29,12.4
"		114",盔林,2019-02-15,0.6,2.5,14:04,-0.7,2:26,3.2
"		114",盔林,2019-02-16,-1.1,2.1,15:34,-3.3,7:08,5.4
"		114",盔林,2019-02-17,-1.2,4.7,16:31,-7,7:36,11.7
"		114",盔林,2019-02-18,0.8,6.1,15:20,-6.4,6:24,12.5
"		114",盔林,2019-02-19,1.6,3.3,0:02,-0.4,6:06,3.7
"		114",盔林,2019-02-20,2.1,4,15:37,0.3,23:35,3.7
"		114",盔林,2019-02-21,1.2,6.4,15:53,-2.8,6:57,9.2
"		114",盔林,2019-02-22,2.6,10.1,15:01,-2.9,6:58,13
"		114",盔林,2019-02-23,5,12.9,16:08,-1.5,6:11,14.4
"		114",盔林,2019-02-24,5.3,12.9,16:04,-1.6,7:09,14.5
"		114",盔林,2019-02-25,5.1,11.1,14:38,0.8,7:24,10.3
"		114",盔林,2019-02-26,4.7,11.1,15:13,-2,6:51,13.1
"		114",盔林,2019-02-27,7.6,13.1,13:58,2.9,6:50,10.2
"		114",盔林,2019-02-28,6.3,12.6,15:09,0.5,7:14,12.1
"		114",盔林,2020-02-01,2.1,6.2,16:39,-1.6,4:50,7.8
"		114",盔林,2020-02-02,2.1,5.8,14:39,-0.6,1:09,6.4
"		114",盔林,2020-02-03,1.2,4.5,15:39,-1.7,23:26,6.2
"		114",盔林,2020-02-04,-0.5,4.7,14:46,-6.3,7:18,11
"		114",盔林,2020-02-05,-5.7,-0.4,0:01,-8.5,7:47,8.1
"		114",盔林,2020-02-06,-5.4,1.2,15:21,-11.4,7:43,12.6
"		114",盔林,2020-02-07,-2,2.5,15:21,-7.4,3:07,9.9
"		114",盔林,2020-02-08,0.8,4.7,15:23,-2.4,23:49,7.1
"		114",盔林,2020-02-09,-0.6,4.5,15:12,-6.6,7:24,11.1
"		114",盔林,2020-02-10,3.3,9.6,15:43,-1.9,7:20,11.5
"		114",盔林,2020-02-11,5.1,13.6,15:32,-3.1,6:46,16.7
